County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Pasco,2018-03-12 00:00:00,MNW18041,F,175,Gulf of Mexico,Hudson,Natural: Cold Stress
Lee,2018-03-13 00:00:00,MSW18059,M,245,San Carlos Bay,Sanibel,Natural: Other
Lee,2018-03-13 00:00:00,MSW18060,M,236,Pine Island Sound,Sanibel,Natural: Other
Volusia,2018-03-14 00:00:00,MNE18018,M,247,St. Johns River,Astor,Human Related: Watercraft Collision
Miami-Dade,2018-03-14 00:00:00,MSE18040,F,261,Biscayne Bay,Miami,Undetermined: Other
Brevard,2018-03-15 00:00:00,MEC18030,F,361,Indian River,Merritt Island,Undetermined: Other
Brevard,2018-03-15 00:00:00,MEC18031,F,176,Grand Canal,Satellite Beach,Natural: Cold Stress
Lee,2018-03-15 00:00:00,MSW18061,M,217,Pine Island Sound,Captiva,Natural: Other
Brevard,2018-03-16 00:00:00,MEC18032,M,213,Indian River,Titusville,Undetermined: Other
Lee,2018-03-16 00:00:00,SWFTm1748b,M,255,Estero Bay,Ft. Myers,Human Related: Watercraft Collision
Volusia,2018-03-17 00:00:00,MEC18033,F,266,St. Johns River,Orange City,Undetermined: Too Decomposed
Putnam,2018-03-17 00:00:00,MNE18019,M,88,Welaka Spring,Satsuma,Perinatal (<= 150 cm)
Manatee,2018-03-17 00:00:00,MNW18042,F,168,Palma Sola Bay,Bradenton,Natural: Cold Stress
Brevard,2018-03-18 00:00:00,MEC18034,M,247,Indian River,Titusville,Undetermined: Other
St. Johns,2018-03-18 00:00:00,SWFTm1818b,M,151,Matanzas River,St. Augustine,Natural: Cold Stress
Brevard,2018-03-19 00:00:00,MEC18035,F,207,Sebastian River,Micco,Natural: Cold Stress
Indian River,2018-03-19 00:00:00,MEC18036,U,260,Indian River,Vero Beach,Undetermined: Too Decomposed
County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
St. Lucie,2018-03-19 00:00:00,MSE18041,M,213,Ft. Pierce Inlet,Ft. Pierce,Natural: Other
Collier,2018-03-19 00:00:00,MSW18062,F,160,Faka Union Canal,Port of the Islands,Natural: Cold Stress
Collier,2018-03-19 00:00:00,MSW18063,F,112,Sanctuary Sound,Marco Island,Perinatal (<= 150 cm)
Lee,2018-03-19 00:00:00,MSW18064,M,204,Matanzas Pass,Ft. Myers Beach,Natural: Other
Lee,2018-03-19 00:00:00,MSW18065,M,158,Glover Bight,Cape Coral,Natural: Other
Brevard,2018-03-20 00:00:00,MEC18037,F,302,Eau Gallie River,Melbourne,Natural: Other
Indian River,2018-03-20 00:00:00,MEC18038,M,267,Sebastian River,Sebastian,Natural: Other
Collier,2018-03-20 00:00:00,MSW18066,F,198,Faka Union Canal,Port of the Islands,Natural: Other
Brevard,2018-03-21 00:00:00,MEC18039,F,115,Turkey Creek,Palm Bay,Perinatal (<= 150 cm)
Citrus,2018-03-22 00:00:00,MNW18043,M,95,Kings Bay,Crystal River,Perinatal (<= 150 cm)
Pasco,2018-03-24 00:00:00,MNW18044,M,322,Anclote Anchorage,Holiday,Undetermined: Other
Martin,2018-03-25 00:00:00,MSE18042,M,302,Peck Lake,Hobe Sound,Natural: Other
Broward,2018-03-26 00:00:00,MSE18043,M,330,South Fork New River,Ft. Lauderdale,Undetermined: Too Decomposed
Lee,2018-03-26 00:00:00,MSW18067,M,296,Roosevelt Channel,Captiva,Natural: Other
Lee,2018-03-26 00:00:00,MSW18068,M,284,Iona Cove,Ft. Myers,Natural: Other
Sarasota,2018-03-26 00:00:00,MSW18069,U,70,Salt Creek,North Port,Verified: Not Recovered
Brevard,2018-03-27 00:00:00,MEC18040,F,250,Grand Canal,Satellite Beach,Undetermined: Too Decomposed
St. Johns,2018-03-28 00:00:00,MNE18020,M,215,Sam Pablo River,Ponte Vedra Beach,Natural: Cold Stress
Brevard,2018-03-29 00:00:00,MEC18041,M,280,Indian River,Titusville,Undetermined: Other
Brevard,2018-03-29 00:00:00,MEC18043,F,178,Grand Canal,Satellite Beach,Natural: Cold Stress
Lee,2018-03-29 00:00:00,MSW18070,F,237,Gulf of Mexico,North Captiva Island,Natural: Other
Brevard,2018-03-30 00:00:00,MEC18042,M,130,Turkey Creek,Palm Bay,Perinatal (<= 150 cm)
